"signup_date","signups"
"2025-04-08","13"
"2025-04-07","32"
"2025-04-06","3"
"2025-04-05","9"
"2025-04-04","22"
"2025-04-03","14"
"2025-04-02","18"
"2025-04-01","9"
"2025-03-31","6"
"2025-03-30","4"
"2025-03-29","6"
"2025-03-28","28"
"2025-03-27","105"
"2025-03-26","5"
"2025-03-25","2"
"2025-03-24","5"
"2025-03-23","5"
"2025-03-22","4"
"2025-03-21","7"
"2025-03-20","1"
"2025-03-19","20"
"2025-03-18","2"
"2025-03-16","3"
"2025-03-14","1"
"2025-03-13","1"
"2025-03-12","2"
"2025-03-11","3"
"2025-03-10","1"
"2025-03-07","1"
"2025-03-06","2"
"2025-03-05","5"
"2025-03-04","5"
"2025-03-03","3"
"2025-03-02","5"
"2025-03-01","2"
"2025-02-27","5"
"2025-02-26","4"
"2025-02-25","6"
"2025-02-24","11"
"2025-02-23","4"
"2025-02-22","5"
"2025-02-21","45"
"2025-02-20","8"
"2025-02-19","20"
"2025-02-18","10"
"2025-02-17","19"
"2025-02-16","7"
"2025-02-15","2"
"2025-02-14","3"
"2025-02-13","23"
"2025-02-12","34"
"2025-02-11","2"
"2025-02-10","1"
"2025-02-09","23"
"2025-02-08","3"
"2025-02-07","3"
"2025-02-06","3"
"2025-02-05","3"
"2025-02-04","1"
"2025-02-01","2"
"2025-01-31","2"
"2025-01-30","17"
"2025-01-29","10"
"2025-01-28","2"
"2025-01-27","1"
"2025-01-26","3"
"2025-01-25","2"
"2025-01-24","1"
"2025-01-23","6"
"2025-01-22","14"
"2025-01-21","3"
"2025-01-20","1"
"2025-01-17","1"
"2025-01-16","2"
"2025-01-15","4"
"2025-01-14","9"
"2025-01-13","12"
"2025-01-12","1"
"2025-01-11","3"
"2025-01-10","14"
"2025-01-07","1"
"2025-01-06","1"
"2025-01-03","1"
"2024-12-31","1"
"2024-12-29","2"
"2024-12-27","1"
"2024-12-26","1"
"2024-12-23","1"
"2024-12-19","1"
"2024-12-16","1"
"2024-12-11","1"
"2024-12-10","1"
"2024-12-09","1"
"2024-12-02","2"
"2024-11-29","1"
"2024-11-28","1"
"2024-11-25","1"
"2024-11-23","1"
"2024-11-22","3"
"2024-11-21","3"
"2024-11-20","2"
"2024-11-19","5"
"2024-11-18","9"
"2024-11-15","1"
"2024-11-14","1"
"2024-11-13","2"
"2024-11-12","3"
"2024-11-09","2"
"2024-11-08","1"
"2024-11-07","1"
"2024-11-06","1"
"2024-11-05","1"
"2024-11-04","3"
"2024-11-03","2"
"2024-11-01","5"
"2024-10-31","63"
"2024-10-30","114"
"2024-10-29","23"
"2024-10-28","2"
"2024-10-25","1"
"2024-10-22","1"
"2024-10-21","1"
"2024-10-20","1"
"2024-10-15","2"
"2024-10-14","1"
"2024-10-12","1"
"2024-10-10","1"
"2024-10-09","2"
"2024-10-08","6"
"2024-10-07","34"
"2024-10-06","4"
"2024-10-05","2"
"2024-10-04","18"
"2024-10-03","4"
"2024-10-02","23"
"2024-10-01","2"
"2024-09-30","11"
"2024-09-29","6"
"2024-09-28","4"
"2024-09-27","11"
"2024-09-26","2"
"2024-09-23","2"
"2024-09-20","1"
"2024-09-19","1"
"2024-09-16","2"
"2024-09-15","3"
"2024-09-12","1"
"2024-09-11","2"
"2024-08-20","1"
"2024-08-15","2"
"2024-08-14","7"
"2024-08-13","15"
"2024-08-12","1"
"2024-08-08","2"
"2024-08-07","1"
"2024-08-06","4"
"2024-08-03","1"
"2024-08-02","3"
"2024-08-01","5"
"2024-07-31","33"
"2024-07-30","15"
"2024-07-29","6"
"2024-07-28","1"
"2024-07-27","2"
"2024-07-26","1"
"2024-07-25","4"
"2024-07-23","1"
"2024-07-18","1"
"2024-07-17","6"
"2024-07-15","1"
"2024-07-11","1"
"2024-07-09","1"
"2024-07-08","3"
"2024-07-07","1"
"2024-07-04","2"
"2024-07-03","6"
"2024-07-01","1"
"2024-06-30","1"
"2024-06-29","6"
"2024-06-28","15"
"2024-06-27","5"
"2024-06-26","28"
"2024-06-25","2"
"2024-06-24","2"
"2024-06-23","6"
"2024-06-22","1"
"2024-06-21","16"
"2024-06-20","1"
"2024-06-19","1"
"2024-06-18","1"
"2024-06-08","1"
"2024-06-07","2"
"2024-06-06","3"
"2024-06-04","4"
"2024-06-01","1"
"2024-05-31","2"
"2024-05-30","2"
"2024-05-29","4"
"2024-05-28","4"
"2024-05-26","3"
"2024-05-25","2"
"2024-05-24","2"
"2024-05-23","4"
"2024-05-22","7"
"2024-05-21","31"
"2024-05-20","19"
"2024-05-19","6"
"2024-05-18","12"
"2024-05-17","86"
"2024-05-16","16"
"2024-05-15","62"
"2024-05-09","1"
"2024-05-08","4"
"2024-05-03","3"
"2024-05-02","1"
"2024-05-01","2"
"2024-04-30","2"
"2024-04-28","1"
"2024-04-26","4"
"2024-04-25","13"
"2024-04-24","26"
"2024-04-23","1"
"2024-04-04","1"
"2024-04-02","5"
"2024-03-18","2"
"2024-03-13","1"
"2024-03-09","1"
"2024-03-04","3"
"2024-03-02","1"
"2024-02-24","1"
"2024-02-22","3"
"2024-02-20","1"
"2024-02-19","10"
"2024-02-16","1"
"2024-02-15","6"
"2024-02-10","1"
"2024-02-09","2"
"2024-02-07","2"
"2024-02-06","7"
"2024-02-05","3"
"2024-02-04","2"
"2024-02-03","2"
"2024-02-02","4"
"2024-01-31","1"
"2024-01-26","1"
